category,level,n,mean_shap,std_shap,mean_abs_shap,label,low_sample
light_conditions,6,2249,0.12408758406251023,0.03877707759939663,0.12408758406251023,Dark-no lighting,False
light_conditions,5,289,0.08307181864415951,0.042825408801948586,0.08320380075000496,Dark-unlit,False
light_conditions,4,8808,0.050827073563350096,0.03466754056562797,0.05096261004595652,Dark-lit,False
light_conditions,1,30021,-0.026682117435492373,0.013919496537592146,0.02669776031424248,Daylight,False
light_conditions,7,686,-0.030397938014199922,0.10024196571056672,0.08120972655369797,Dark-unknown,False
