category,level,n,mean_shap,std_shap,mean_abs_shap,label,low_sample
road_surface_conditions,1,30295,0.005991783768365619,0.008056933754675406,0.0066316447325957435,Dry,False
road_surface_conditions,2,10040,-0.0019509310754272965,0.016802912260588502,0.009818040838571906,Wet,False
road_surface_conditions,3,93,-0.015048144655026442,0.0311900514452123,0.025576309430879997,Snow,True
road_surface_conditions,9,554,-0.04364440420263796,0.04664306360629884,0.05571300698150218,9,False
road_surface_conditions,4,617,-0.0773253816709649,0.06802558773974467,0.08540285434341259,Frost/ice,False
road_surface_conditions,5,69,-0.08582983515068726,0.07309994760591643,0.09320550846762933,Flood,True
road_surface_conditions,-1,385,-0.18309331188579264,0.0908418290344752,0.18315475590328037,-1,False
