category,level,n,mean_shap,std_shap,mean_abs_shap,label,low_sample
speed_limit,50.0,1824,0.1842036504519555,0.060255938640925225,0.1842036504519555,50.0,False
speed_limit,60.0,5011,0.1832953917251306,0.06347883601304907,0.18329539172513057,60.0,False
speed_limit,70.0,2341,0.18257680458444464,0.06364992906328981,0.18259720772586532,70.0,False
speed_limit,40.0,3664,0.1067077739592891,0.052656398995403274,0.10696656331524644,40.0,False
speed_limit,30.0,22476,-0.06263882223658647,0.022779543337987925,0.06267263841746722,30.0,False
speed_limit,20.0,6737,-0.0791972756178809,0.033816199470890485,0.07937751219155319,20.0,False
