category,level,n,mean_shap,std_shap,mean_abs_shap,label,low_sample
first_road_class,2,120,0.01965947660062074,0.018215882444180674,0.021856623858226034,A(M),True
first_road_class,3,18528,0.007843988481399135,0.01275079362965883,0.01077863992259548,A road,False
first_road_class,1,1257,-0.0005440875735667756,0.02591381962947159,0.01931354111904465,Motorway,False
first_road_class,4,5307,-0.0035924292562165604,0.008802917841392385,0.006852005837208968,B road,False
first_road_class,6,15025,-0.0067670693336738166,0.013433426571589002,0.011432173959984152,Unclassified,False
first_road_class,5,1816,-0.010982675159924776,0.009515038481848094,0.011834030123899148,C road,False
