category,level,n,mean_shap,std_shap,mean_abs_shap,label,low_sample
road_type,6,30497,0.015492658634450845,0.007236458189691682,0.015546462735548702,Single carriageway,False
road_type,7,714,0.00411243213590817,0.013106591986283073,0.01077647305084217,Slip road,False
road_type,3,6272,-0.01580730571847592,0.01844041738770431,0.018853788731278714,Dual carriageway,False
road_type,2,921,-0.07076639574619618,0.03466772913670114,0.07094072857641515,One way,False
road_type,1,2479,-0.08389082672001971,0.0369495089095695,0.0839978847724694,Roundabout,False
road_type,9,1170,-0.10525684831843818,0.05422924737274416,0.1066190753728788,Unknown,False
