model,macro_F1,macro_AP,AP_Fatal,AP_Grievous
LightGBM argmax,0.447540558139855,0.4492706006151661,0.12755201119799472,0.2686077748278429
LightGBM threshold-tuned,0.47562297912008233,0.4492706006151661,0.12755201119799472,0.2686077748278429
