features,n_cols,macro_AP,AP_Fatal,AP_Griev,KSI_ROC_AUC,top1%_fatal_rate,top1%_lift,top10%_rate,capture@20%,macro_F1
ORIGINAL   (20 cols),18,0.3875421521105391,0.05520699111025326,0.19236854015707217,0.6761600614898629,0.108348134991119,8.633982428945762,0.05006213385407421,0.5898161244695899,0.3736540235944567
ACTIONABLE (+veh/coll),144,0.44551267237229436,0.11965294730684138,0.26659052477730066,0.7780109945798132,0.20071047957371227,15.994098597883132,0.07615835256524055,0.7567185289957568,0.438473002535303
EXPLANATORY (+casualty),202,0.45176834928906756,0.12788973465426376,0.27437455351740314,0.7887410294923809,0.20426287744227353,16.277179988996107,0.08077401029646725,0.8147100424328148,0.450958236220919
