model,macro_F1,AP_Fatal,AP_Grievous,macro_AP,secs
LinearSVC (246k),0.3456041910530599,0.043621503854198454,0.21190583930966117,0.38715651598404804,38.43934178352356
LightGBM (246k),0.3682738644150913,0.057683236717064365,0.18438095495114554,0.38562630122669606,9.50481367111206
"MLP (128, 64)",0.33389761072628626,0.02236996031905745,0.18950108226036794,0.3714241931072027,199.5081524848938
RBF SVC (n=30000),0.3511906032135719,0.0271053234968021,0.16988023606342945,0.36553184493565416,563.314455986023
RBF SVC (n=15000),0.3486868208762725,0.02382748153554583,0.1712964312924409,0.3640158094575005,217.09422945976257
RBF SVC (n=5000),0.35154975834398233,0.0196979467947819,0.16887836359918174,0.36077884562741636,54.82726335525513
"MLP (256, 128, 64)",0.35402969161974535,0.024388071445363504,0.1554411119070036,0.3537065466418517,680.6511018276215
