feature,mean_abs_shap
n_crashes,0.4984288597110165
mode_first_road_class,0.16562945754482167
lat,0.09695629127792316
lon,0.08762438887599991
mode_urban_or_rural_area,0.08646451343451672
crashes_per_year,0.0846717608889454
n_years_active,0.059489971384831836
mode_junction_control,0.041107145574964386
max_p_ksi,0.035883071337874085
mean_p_ksi,0.03354783834104952
n_veh_mean,0.030716065736944846
n_roads,0.027365055693784834
mode_road_type,0.019430106719004584
mode_junction_detail,0.018691925573808645
n_cas_mean,0.018171929610996767
speed_mean,0.017531657664198164
pct_ped,0.016279411989996367
ksi_rate,0.01517354435648211
speed_max,0.014473442965256907
pct_dark,0.012119142578354747
mode_speed_limit,0.009404997481104996
pct_wet,0.009246009056996353
n_ksi,0.008628198385059507
mode_light_conditions,0.008627374653096138
n_fatal,0.0054338544430911255
