model,macro_F1,AP_Fatal,AP_Grievous,AP_Minor,macro_AP
"Blend per-class w=[0.9, 0.2, 0.45]",0.34523989796578247,0.05847967588689082,0.2154217615981146,0.915100149947383,0.3963338624774628
Blend 50/50,0.3452153697947429,0.06180415113337921,0.2029930201587133,0.9151538492901943,0.39331700686076226
LinearSVC alone (calibrated),0.3096322028404057,0.04300419776535495,0.21192575815665482,0.9062081351829954,0.387046030368335
LightGBM alone,0.3682738644150913,0.057683236717064365,0.18438095495114554,0.9148147120118783,0.38562630122669606
