config,macro_AP,AP_Fatal,AP_Grievous,macro_F1_tuned,top1pct,capture20,mult_F,mult_G
hand-picked,0.4492706006151661,0.12755201119799472,0.2686077748278429,0.47562297912008233,0.20781527531083482,0.8062234794908062,0.5,0.5
tuned,0.4684000462470073,0.14595868696892003,0.3084035599022817,0.46983952398712575,0.23090586145648312,0.8118811881188119,5.5,1.0
