feature,mean_abs_shap
mode_first_road_class,0.15531131129910544
mean_p_ksi,0.09461153282992096
lat,0.09104994033396188
lon,0.0826233681978701
max_p_ksi,0.06901706512075294
mode_urban_or_rural_area,0.06726434949732568
pct_wet,0.052796464889561676
pct_dark,0.03330287042716942
mode_junction_detail,0.030983298486579155
n_veh_mean,0.028728495762003984
n_cas_mean,0.028469722372119845
ksi_rate,0.026209782263895066
mode_junction_control,0.023315747422002844
speed_max,0.019569999696914395
mode_road_type,0.01740374081549813
speed_mean,0.016025118999623996
pct_ped,0.01515897843471431
mode_speed_limit,0.013887691974697611
mode_light_conditions,0.013312244896535028
n_roads,0.004064405156337179
