model,macro_F1,macro_AP,AP_Fatal,AP_Grievous,Fatal_rec,Fatal_prec,Griev_rec
"LightGBM, argmax",0.3682738644150913,0.38562630122669606,0.057683236717064365,0.18438095495114554,0.393173198482933,0.04712121212121212,0.43041237113402064
"LightGBM, threshold-tuned",0.41143715397590935,0.38562630122669606,0.057683236717064365,0.18438095495114554,0.0922882427307206,0.1267361111111111,0.42378497790868924
"Blend, argmax",0.34523989796578247,0.3963338624774628,0.05847967588689082,0.2154217615981146,0.1997471554993679,0.07629164654756157,0.005645557191948944
"Blend, threshold-tuned",0.410878433563183,0.3963338624774628,0.05847967588689082,0.2154217615981146,0.1125158027812895,0.09408033826638477,0.3163966617574865
