config,accuracy,macro_f1,Fatal_recall,Fatal_prec,Grievous_recall,Grievous_prec,Minor_recall,Minor_prec,stage1_auc,stage2_auc
flat    | original,0.6037340693238088,0.3658534587947128,0.40960809102402024,0.047058823529411764,0.4261168384879725,0.19456430372653405,0.6341347614706776,0.9057642750576428,,
cascade | original,0.7308547771734719,0.40098883798912405,0.26801517067003794,0.062408007065057405,0.2935689739813451,0.22746291365538227,0.805473260407171,0.8894970848538233,0.6733017467321049,0.6896639414820758
flat    | enriched,0.6137835863300592,0.37046267824053536,0.4020227560050569,0.0492488771875484,0.42513500245459007,0.19739016468174825,0.6461561835308417,0.9051584240070233,,
cascade | enriched,0.7296533809562464,0.40146460951921065,0.25916561314791403,0.06331068560840025,0.3009327442317133,0.2266173752310536,0.8030613795199028,0.8895386751372615,0.6735667947980181,0.6811645742139572
