dataset,rows,features,macro_AP,AP_Fatal,AP_Grievous,macro_F1,KSI_ROC_AUC,top1pct,capture20
2009-2010,281692,201,0.4684,0.146,0.3084,0.4698,0.784,0.2309,0.8119
2009-2015,1040051,251,0.4803682213827967,0.18257140637716016,0.30641502479145577,0.49923561414714207,0.7938004659242182,0.2586538461538462,0.8649318463444857
