Class,Prevalence,No-skill AP,Flat AP,Flat lift,Cascade AP,Cascade lift,Delta
Fatal,0.01284195145709879,0.01284195145709879,0.056988051165368384,4.437647296499198,0.05734514831208079,4.465454374567151,0.0003570971467124068
Grievous,0.13228346456692913,0.13228346456692913,0.18436552033174217,1.393715540603051,0.1855748846530117,1.4028577589840765,0.0012093643212695293
Minor,0.854874583975972,0.854874583975972,0.9129561016988077,1.0679415657121327,0.9154776318867529,1.0708911564886157,0.002521530187945209
