rank,segment_id,location,road_id,km_from,km_to,lat,lon,blackspot_score,n_crashes,n_ksi,n_fatal,ksi_rate,crashes_per_year,speed_max,pct_night,pct_junction,future_ksi,future_fatal
1,A23_run3_km0.5,A23 km 0.5-1.0 (seg 3),A23,0.5,1.0,51.460757316666665,-0.11601963333333334,9.665665498389384,60,10,0,0.16666666666666666,20.0,30.0,0.23333333333333334,0.7,13.0,2.0
2,A3220_run0_km6.0,A3220 km 6.0-6.5,A3220,6.0,6.5,51.48392441666667,-0.17779218333333333,9.138733476078558,60,10,1,0.16666666666666666,20.0,30.0,0.05,0.7333333333333333,11.0,2.0
3,A3_run2_km0.5,A3 km 0.5-1.0 (seg 2),A3,0.5,1.0,51.46387298850575,-0.13249029885057473,8.62357131979668,87,14,0,0.16091954022988506,29.0,30.0,0.1724137931034483,0.896551724137931,10.0,1.0
4,A1202_run0_km0.0,A1202 km 0.0-0.5,A1202,0.0,0.5,51.524877098360655,-0.08127631147540984,8.05617037661596,61,18,0,0.29508196721311475,20.333333333333332,40.0,0.32786885245901637,0.7704918032786885,8.0,1.0
5,A24_run0_km39.0,A24 km 39.0-39.5,A24,39.0,39.5,51.42830309523809,-0.16771317460317461,7.606701702570525,63,11,0,0.1746031746031746,21.0,30.0,0.1111111111111111,0.8412698412698413,5.0,1.0
6,A11_run0_km3.5,A11 km 3.5-4.0,A11,3.5,4.0,51.52763291428571,-0.02286002857142857,7.529332643429146,70,10,1,0.14285714285714285,23.333333333333332,40.0,0.1,0.8857142857142857,8.0,0.0
7,A24_run0_km39.5,A24 km 39.5-40.0,A24,39.5,40.0,51.43198104918033,-0.16419498360655738,7.369846643686227,61,12,0,0.19672131147540983,20.333333333333332,30.0,0.09836065573770492,0.9180327868852459,12.0,0.0
8,A215_run0_km0.0,A215 km 0.0-0.5,A215,0.0,0.5,51.48198614516129,-0.09436859677419354,7.2841795285093776,62,10,0,0.16129032258064516,20.666666666666668,30.0,0.0967741935483871,0.7741935483870968,7.0,0.0
9,A11_run0_km2.5,A11 km 2.5-3.0,A11,2.5,3.0,51.52500865573771,-0.034719573770491806,7.279273158323466,61,12,0,0.19672131147540983,20.333333333333332,40.0,0.21311475409836064,0.6885245901639344,7.0,0.0
10,A23_run3_km1.0,A23 km 1.0-1.5 (seg 3),A23,1.0,1.5,51.46382024528302,-0.11455118867924528,7.2436245845700995,53,10,0,0.18867924528301888,17.666666666666668,30.0,0.18867924528301888,0.660377358490566,9.0,0.0
11,A23_run6_km3.0,A23 km 3.0-3.5 (seg 6),A23,3.0,3.5,50.83161931034483,-0.13570248275862068,7.233669590374513,29,2,0,0.06896551724137931,9.666666666666666,30.0,0.06896551724137931,0.6551724137931034,9.0,0.0
12,A10_run0_km2.0,A10 km 2.0-2.5,A10,2.0,2.5,51.58415028,-0.07203256,7.18511976526292,50,7,0,0.14,16.666666666666668,40.0,0.26,0.72,10.0,0.0
13,A40_run1_km0.5,A40 km 0.5-1.0 (seg 1),A40,0.5,1.0,51.51505210344828,-0.14374958620689657,7.00245455816383,29,12,0,0.41379310344827586,9.666666666666666,40.0,0.13793103448275862,0.7586206896551724,10.0,0.0
